Country.Region,Long,Lat
Algeria,2.665037367,28.16109636
Angola,17.54887939,-12.29748365
Benin,2.336303065,9.657780815
Botswana,23.81493866,-22.18756154
Burkina Faso,-1.741325652,12.28657604
Burundi,29.88306156,-3.37640374
Ivory Coast,-5.557983426,7.630496625
Cameroon,12.74423514,5.69544321
Canarias,-15.66666517,28.34275106
Cape Verde,-23.9787174,15.94684331
Central African Republic,20.48670422,6.576912374
Chad,18.66805237,15.37544558
Comoros,43.684031,-11.89430253
Congo,15.22170699,-0.839261909
DRC,23.65566514,-2.878859584
Djibouti,42.57977187,11.73491473
Egypt,29.51720326,26.35073064
Equatorial Guinea,10.33013186,1.70394351
Eritrea,38.85852706,15.36501793
Ethiopia,39.63442899,8.624241047
French Southern Territories,40.71006085,-20.98266547
Gabon,11.80300837,-0.597635132
Gambia,-15.37295345,13.45301533
Ghana,-1.209580279,7.970031546
Guinea,-10.93137092,10.43978299
Guinea-Bissau,-14.97423775,12.01550849
Kenya,37.81861925,0.60756898
Lesotho,28.24617201,-29.58407225
Liberia,-9.308815671,6.448603615
Libya,18.02702074,27.04397585
Madagascar,46.70104324,-19.37424465
Madeira,-16.94450095,32.74684983
Malawi,34.30152499,-13.21382908
Mali,-3.522421517,17.36050438
Mauritania,-10.33012581,20.26844903
Mauritius,57.89443971,-20.12114518
Mayotte,45.14846581,-12.82130013
Morocco,-8.899237934,29.11811683
Mozambique,35.55370677,-17.25606238
Namibia,17.22209397,-22.13892948
Niger,9.400714534,17.41534627
Nigeria,8.103989132,9.600053753
Réunion,55.53275098,-21.13343001
Rwanda,29.92570289,-1.999008002
Saint Helena,-10.25572181,-25.10070854
Sao Tome and Principe,6.716757419,0.436536868
Senegal,-14.45899097,14.36674977
Seychelles,51.74905336,-6.772972812
Sierra Leone,-11.78894599,8.560343432
Somalia,45.86822903,6.063160072
South Africa,25.09216421,-29.00278158
South Sudan,30.25018694,7.314820468
Spain,-4.354140518,35.6487624
Sudan,30.01129757,16.05811429
Eswatini,31.49973929,-26.5659895
Tanzania,34.82607667,-6.263653111
Togo,0.975411957,8.536587855
Tunisia,9.577419753,34.11075322
Uganda,32.38937844,1.279601633
Yemen,53.80066285,12.49184146
Zambia,27.79443855,-13.4569131
Zimbabwe,29.87216145,-19.00004082
